指標名稱,相似度,片段內容
R-1-3,0.8202921080771606,"1 
連線商業銀行氣候風險 管理揭露摘要  
 
壹、氣候風險基礎資訊揭露  
構面 氣候風險基礎資訊揭露  
公司 
治理 • 風險治理基本理念  
風險管理係行內各相關單位之共同職責，透過跨單位之充分協
調，在執行業務時，確保符合風險管理規範、並落實風險控管。
藉由縝密完善之風險網路防線，確保本行各項營運風險得以掌
握。 
風險管理需由董事會、各管理階層及全體人員共同參與、推動及
執行。各項風險管理資訊之傳遞及通報，需具備時效性及有效性。
經由向上陳報、向下溝通與跨部門間之整合，確保董事會及各管
理階層瞭解整體風險輪廓；並使得整體風險管理之目標與政策規
範能落實於各單位及各層級人員。"
R-1-3,0.8150652485441594,"3  
構面 氣候風險基礎資訊揭露  
風險 
管理 風險管理的目標在使各單位風險管理機制具有一致的標準、語言及文
化，並透過有效風險管理機制之建立，以協助業務的推展及風險的監
控，進而確保本行穩健發展。未來管理階層可依據適當之風險量化指
標進行風險偏好及經營方向的決策，以求在風險與報酬均衡下創造股
東最大利益。 本行風險管理組織架構 如下： 
• 董事會 
為風險管理之最高決策單位，負有核定、審視、監督風險策略及
風險政策風險管理政策、架構以及建立全行的風險管理文化之責
任，對整體風險管理負有最終責任。  
• 風險管理委員會  
董事會下設風險管理委員會，由董事長擔任主任委員，執行董事"
#R-1-4,0.8359868517857539,"1 
連線商業銀行氣候風險 管理揭露摘要  
 
壹、氣候風險基礎資訊揭露  
構面 氣候風險基礎資訊揭露  
公司 
治理 • 風險治理基本理念  
風險管理係行內各相關單位之共同職責，透過跨單位之充分協
調，在執行業務時，確保符合風險管理規範、並落實風險控管。
藉由縝密完善之風險網路防線，確保本行各項營運風險得以掌
握。 
風險管理需由董事會、各管理階層及全體人員共同參與、推動及
執行。各項風險管理資訊之傳遞及通報，需具備時效性及有效性。
經由向上陳報、向下溝通與跨部門間之整合，確保董事會及各管
理階層瞭解整體風險輪廓；並使得整體風險管理之目標與政策規
範能落實於各單位及各層級人員。"
#R-1-4,0.8118661011336535,"5  
貳、氣候變遷情境分析  
氣候變遷情境分析  
背
景 連線商業銀行 按銀行公會 「本國銀行辦理氣候變遷情境分析作業規劃 」
(以下簡稱 ”作業規劃 ”)，以2022年12月底為資料基準日， 依循作業
規劃之氣候情境 ，設定總體經濟因子 、環境因子、及相關參數，藉此評
估對銀行 簿授信及投資部位之衝擊，從而檢視本行 面對氣候風險 時之韌
性。 
說
明 • 情景設定  
依公會版作業規劃 ，本國銀行 辦理氣候變遷 情境分析 時，需考量銀
行在2030及2050年兩時點的有序轉型 、無序轉型 、及無政策，共"
#R-1-4,0.8053991238893159,"性。 
說
明 • 情景設定  
依公會版作業規劃 ，本國銀行 辦理氣候變遷 情境分析 時，需考量銀
行在2030及2050年兩時點的有序轉型 、無序轉型 、及無政策，共
六個情境下，對銀行信用風險參數 ，包含違約機率 （ Probability of 
Default, PD ）及違約損失率（ Loss Given Default, LGD ）加壓後 ，
觀察預期信用損失（Expected Credit Loss, ECL）變化情形。  
• 計算基礎與範圍  
依公會版作業規劃 ，計算基準為前一年底資產負債部位與前一年度
損益資訊，以 銀行個體為基礎 ；評估之範圍涵蓋國內個金授信 及國"
#R-1-5,0.8234410641885186,"1 
連線商業銀行氣候風險 管理揭露摘要  
 
壹、氣候風險基礎資訊揭露  
構面 氣候風險基礎資訊揭露  
公司 
治理 • 風險治理基本理念  
風險管理係行內各相關單位之共同職責，透過跨單位之充分協
調，在執行業務時，確保符合風險管理規範、並落實風險控管。
藉由縝密完善之風險網路防線，確保本行各項營運風險得以掌
握。 
風險管理需由董事會、各管理階層及全體人員共同參與、推動及
執行。各項風險管理資訊之傳遞及通報，需具備時效性及有效性。
經由向上陳報、向下溝通與跨部門間之整合，確保董事會及各管
理階層瞭解整體風險輪廓；並使得整體風險管理之目標與政策規
範能落實於各單位及各層級人員。"
R-2-1,0.8408230285940845,"1 
連線商業銀行氣候風險 管理揭露摘要  
 
壹、氣候風險基礎資訊揭露  
構面 氣候風險基礎資訊揭露  
公司 
治理 • 風險治理基本理念  
風險管理係行內各相關單位之共同職責，透過跨單位之充分協
調，在執行業務時，確保符合風險管理規範、並落實風險控管。
藉由縝密完善之風險網路防線，確保本行各項營運風險得以掌
握。 
風險管理需由董事會、各管理階層及全體人員共同參與、推動及
執行。各項風險管理資訊之傳遞及通報，需具備時效性及有效性。
經由向上陳報、向下溝通與跨部門間之整合，確保董事會及各管
理階層瞭解整體風險輪廓；並使得整體風險管理之目標與政策規
範能落實於各單位及各層級人員。"
R-2-1,0.8268829789506325,"3  
構面 氣候風險基礎資訊揭露  
風險 
管理 風險管理的目標在使各單位風險管理機制具有一致的標準、語言及文
化，並透過有效風險管理機制之建立，以協助業務的推展及風險的監
控，進而確保本行穩健發展。未來管理階層可依據適當之風險量化指
標進行風險偏好及經營方向的決策，以求在風險與報酬均衡下創造股
東最大利益。 本行風險管理組織架構 如下： 
• 董事會 
為風險管理之最高決策單位，負有核定、審視、監督風險策略及
風險政策風險管理政策、架構以及建立全行的風險管理文化之責
任，對整體風險管理負有最終責任。  
• 風險管理委員會  
董事會下設風險管理委員會，由董事長擔任主任委員，執行董事"
R-2-1,0.8012130092280475,"經由向上陳報、向下溝通與跨部門間之整合，確保董事會及各管
理階層瞭解整體風險輪廓；並使得整體風險管理之目標與政策規
範能落實於各單位及各層級人員。  
• 風險治理組織設計原則  
風險管理機制需遵循風險管理三道防線原則設計：第一道防線為
營運單位及業務規劃單位，負責在執行或規劃業務時，確保符合
風險管理規範、並落實每日的風險控管；第二道防線為法遵單位
及風險管理單位，負責風險管理制度之規劃、並監控第一道防線
落實執行 的情形與機制的有效性；第三道防線為稽核單位，負責
查核風險各項規章與機制之遵循與執行情形。"
R-2-2,0.8323469689440308,"1 
連線商業銀行氣候風險 管理揭露摘要  
 
壹、氣候風險基礎資訊揭露  
構面 氣候風險基礎資訊揭露  
公司 
治理 • 風險治理基本理念  
風險管理係行內各相關單位之共同職責，透過跨單位之充分協
調，在執行業務時，確保符合風險管理規範、並落實風險控管。
藉由縝密完善之風險網路防線，確保本行各項營運風險得以掌
握。 
風險管理需由董事會、各管理階層及全體人員共同參與、推動及
執行。各項風險管理資訊之傳遞及通報，需具備時效性及有效性。
經由向上陳報、向下溝通與跨部門間之整合，確保董事會及各管
理階層瞭解整體風險輪廓；並使得整體風險管理之目標與政策規
範能落實於各單位及各層級人員。"
R-2-2,0.8197175803571572,"3  
構面 氣候風險基礎資訊揭露  
風險 
管理 風險管理的目標在使各單位風險管理機制具有一致的標準、語言及文
化，並透過有效風險管理機制之建立，以協助業務的推展及風險的監
控，進而確保本行穩健發展。未來管理階層可依據適當之風險量化指
標進行風險偏好及經營方向的決策，以求在風險與報酬均衡下創造股
東最大利益。 本行風險管理組織架構 如下： 
• 董事會 
為風險管理之最高決策單位，負有核定、審視、監督風險策略及
風險政策風險管理政策、架構以及建立全行的風險管理文化之責
任，對整體風險管理負有最終責任。  
• 風險管理委員會  
董事會下設風險管理委員會，由董事長擔任主任委員，執行董事"
R-2-3,0.8212426076908623,"1 
連線商業銀行氣候風險 管理揭露摘要  
 
壹、氣候風險基礎資訊揭露  
構面 氣候風險基礎資訊揭露  
公司 
治理 • 風險治理基本理念  
風險管理係行內各相關單位之共同職責，透過跨單位之充分協
調，在執行業務時，確保符合風險管理規範、並落實風險控管。
藉由縝密完善之風險網路防線，確保本行各項營運風險得以掌
握。 
風險管理需由董事會、各管理階層及全體人員共同參與、推動及
執行。各項風險管理資訊之傳遞及通報，需具備時效性及有效性。
經由向上陳報、向下溝通與跨部門間之整合，確保董事會及各管
理階層瞭解整體風險輪廓；並使得整體風險管理之目標與政策規
範能落實於各單位及各層級人員。"
R-2-3,0.8147824979105934,"3  
構面 氣候風險基礎資訊揭露  
風險 
管理 風險管理的目標在使各單位風險管理機制具有一致的標準、語言及文
化，並透過有效風險管理機制之建立，以協助業務的推展及風險的監
控，進而確保本行穩健發展。未來管理階層可依據適當之風險量化指
標進行風險偏好及經營方向的決策，以求在風險與報酬均衡下創造股
東最大利益。 本行風險管理組織架構 如下： 
• 董事會 
為風險管理之最高決策單位，負有核定、審視、監督風險策略及
風險政策風險管理政策、架構以及建立全行的風險管理文化之責
任，對整體風險管理負有最終責任。  
• 風險管理委員會  
董事會下設風險管理委員會，由董事長擔任主任委員，執行董事"
R-3-1,0.8379474121413757,"1 
連線商業銀行氣候風險 管理揭露摘要  
 
壹、氣候風險基礎資訊揭露  
構面 氣候風險基礎資訊揭露  
公司 
治理 • 風險治理基本理念  
風險管理係行內各相關單位之共同職責，透過跨單位之充分協
調，在執行業務時，確保符合風險管理規範、並落實風險控管。
藉由縝密完善之風險網路防線，確保本行各項營運風險得以掌
握。 
風險管理需由董事會、各管理階層及全體人員共同參與、推動及
執行。各項風險管理資訊之傳遞及通報，需具備時效性及有效性。
經由向上陳報、向下溝通與跨部門間之整合，確保董事會及各管
理階層瞭解整體風險輪廓；並使得整體風險管理之目標與政策規
範能落實於各單位及各層級人員。"
R-3-1,0.8294607242811237,"3  
構面 氣候風險基礎資訊揭露  
風險 
管理 風險管理的目標在使各單位風險管理機制具有一致的標準、語言及文
化，並透過有效風險管理機制之建立，以協助業務的推展及風險的監
控，進而確保本行穩健發展。未來管理階層可依據適當之風險量化指
標進行風險偏好及經營方向的決策，以求在風險與報酬均衡下創造股
東最大利益。 本行風險管理組織架構 如下： 
• 董事會 
為風險管理之最高決策單位，負有核定、審視、監督風險策略及
風險政策風險管理政策、架構以及建立全行的風險管理文化之責
任，對整體風險管理負有最終責任。  
• 風險管理委員會  
董事會下設風險管理委員會，由董事長擔任主任委員，執行董事"
R-3-1,0.8041805454965263,"經由向上陳報、向下溝通與跨部門間之整合，確保董事會及各管
理階層瞭解整體風險輪廓；並使得整體風險管理之目標與政策規
範能落實於各單位及各層級人員。  
• 風險治理組織設計原則  
風險管理機制需遵循風險管理三道防線原則設計：第一道防線為
營運單位及業務規劃單位，負責在執行或規劃業務時，確保符合
風險管理規範、並落實每日的風險控管；第二道防線為法遵單位
及風險管理單位，負責風險管理制度之規劃、並監控第一道防線
落實執行 的情形與機制的有效性；第三道防線為稽核單位，負責
查核風險各項規章與機制之遵循與執行情形。"
R-3-2,0.8243271967122022,"1 
連線商業銀行氣候風險 管理揭露摘要  
 
壹、氣候風險基礎資訊揭露  
構面 氣候風險基礎資訊揭露  
公司 
治理 • 風險治理基本理念  
風險管理係行內各相關單位之共同職責，透過跨單位之充分協
調，在執行業務時，確保符合風險管理規範、並落實風險控管。
藉由縝密完善之風險網路防線，確保本行各項營運風險得以掌
握。 
風險管理需由董事會、各管理階層及全體人員共同參與、推動及
執行。各項風險管理資訊之傳遞及通報，需具備時效性及有效性。
經由向上陳報、向下溝通與跨部門間之整合，確保董事會及各管
理階層瞭解整體風險輪廓；並使得整體風險管理之目標與政策規
範能落實於各單位及各層級人員。"
R-3-2,0.819884340149828,"3  
構面 氣候風險基礎資訊揭露  
風險 
管理 風險管理的目標在使各單位風險管理機制具有一致的標準、語言及文
化，並透過有效風險管理機制之建立，以協助業務的推展及風險的監
控，進而確保本行穩健發展。未來管理階層可依據適當之風險量化指
標進行風險偏好及經營方向的決策，以求在風險與報酬均衡下創造股
東最大利益。 本行風險管理組織架構 如下： 
• 董事會 
為風險管理之最高決策單位，負有核定、審視、監督風險策略及
風險政策風險管理政策、架構以及建立全行的風險管理文化之責
任，對整體風險管理負有最終責任。  
• 風險管理委員會  
董事會下設風險管理委員會，由董事長擔任主任委員，執行董事"
MT-1-1,0.8184360420619001,"1 
連線商業銀行氣候風險 管理揭露摘要  
 
壹、氣候風險基礎資訊揭露  
構面 氣候風險基礎資訊揭露  
公司 
治理 • 風險治理基本理念  
風險管理係行內各相關單位之共同職責，透過跨單位之充分協
調，在執行業務時，確保符合風險管理規範、並落實風險控管。
藉由縝密完善之風險網路防線，確保本行各項營運風險得以掌
握。 
風險管理需由董事會、各管理階層及全體人員共同參與、推動及
執行。各項風險管理資訊之傳遞及通報，需具備時效性及有效性。
經由向上陳報、向下溝通與跨部門間之整合，確保董事會及各管
理階層瞭解整體風險輪廓；並使得整體風險管理之目標與政策規
範能落實於各單位及各層級人員。"
MT-1-2,0.8183667754714592,"1 
連線商業銀行氣候風險 管理揭露摘要  
 
壹、氣候風險基礎資訊揭露  
構面 氣候風險基礎資訊揭露  
公司 
治理 • 風險治理基本理念  
風險管理係行內各相關單位之共同職責，透過跨單位之充分協
調，在執行業務時，確保符合風險管理規範、並落實風險控管。
藉由縝密完善之風險網路防線，確保本行各項營運風險得以掌
握。 
風險管理需由董事會、各管理階層及全體人員共同參與、推動及
執行。各項風險管理資訊之傳遞及通報，需具備時效性及有效性。
經由向上陳報、向下溝通與跨部門間之整合，確保董事會及各管
理階層瞭解整體風險輪廓；並使得整體風險管理之目標與政策規
範能落實於各單位及各層級人員。"
MT-1-3,0.8254863380342349,"1 
連線商業銀行氣候風險 管理揭露摘要  
 
壹、氣候風險基礎資訊揭露  
構面 氣候風險基礎資訊揭露  
公司 
治理 • 風險治理基本理念  
風險管理係行內各相關單位之共同職責，透過跨單位之充分協
調，在執行業務時，確保符合風險管理規範、並落實風險控管。
藉由縝密完善之風險網路防線，確保本行各項營運風險得以掌
握。 
風險管理需由董事會、各管理階層及全體人員共同參與、推動及
執行。各項風險管理資訊之傳遞及通報，需具備時效性及有效性。
經由向上陳報、向下溝通與跨部門間之整合，確保董事會及各管
理階層瞭解整體風險輪廓；並使得整體風險管理之目標與政策規
範能落實於各單位及各層級人員。"
MT-1-3,0.8057510678343451,"2  
構面 氣候風險基礎資訊揭露  
策略 • 依行業特性建立合適之環境管理制度  
1. 本行之行政或通知作業採用電子公文系統、會議導入無紙化
等措施，減少紙張用量。  
2. 辦公室及活動區域設有使用規範，除禁止吸煙，並提醒員工
應隨手關閉電源，節約能源，實施垃圾分類及資源回收，降
低對環境之影響。  
3. 每月在開戶申請、存摺、電子對帳單，乃至於存款申請、個
人信貸撥款證明等各項文件上，皆實現「無紙化線上申辦」 ，
與過往銀行相關業務生產的紙張消耗量相比，每月約減少
1000萬張紙張。  
• 致力於提升能源使用效率及使用對環境負荷衝擊低之再生物料"
MT-1-3,0.8049977716241903,"3  
構面 氣候風險基礎資訊揭露  
風險 
管理 風險管理的目標在使各單位風險管理機制具有一致的標準、語言及文
化，並透過有效風險管理機制之建立，以協助業務的推展及風險的監
控，進而確保本行穩健發展。未來管理階層可依據適當之風險量化指
標進行風險偏好及經營方向的決策，以求在風險與報酬均衡下創造股
東最大利益。 本行風險管理組織架構 如下： 
• 董事會 
為風險管理之最高決策單位，負有核定、審視、監督風險策略及
風險政策風險管理政策、架構以及建立全行的風險管理文化之責
任，對整體風險管理負有最終責任。  
• 風險管理委員會  
董事會下設風險管理委員會，由董事長擔任主任委員，執行董事"
MT-1-4,0.8130654990812067,"1 
連線商業銀行氣候風險 管理揭露摘要  
 
壹、氣候風險基礎資訊揭露  
構面 氣候風險基礎資訊揭露  
公司 
治理 • 風險治理基本理念  
風險管理係行內各相關單位之共同職責，透過跨單位之充分協
調，在執行業務時，確保符合風險管理規範、並落實風險控管。
藉由縝密完善之風險網路防線，確保本行各項營運風險得以掌
握。 
風險管理需由董事會、各管理階層及全體人員共同參與、推動及
執行。各項風險管理資訊之傳遞及通報，需具備時效性及有效性。
經由向上陳報、向下溝通與跨部門間之整合，確保董事會及各管
理階層瞭解整體風險輪廓；並使得整體風險管理之目標與政策規
範能落實於各單位及各層級人員。"
MT-1-5,0.8166118802928898,"1 
連線商業銀行氣候風險 管理揭露摘要  
 
壹、氣候風險基礎資訊揭露  
構面 氣候風險基礎資訊揭露  
公司 
治理 • 風險治理基本理念  
風險管理係行內各相關單位之共同職責，透過跨單位之充分協
調，在執行業務時，確保符合風險管理規範、並落實風險控管。
藉由縝密完善之風險網路防線，確保本行各項營運風險得以掌
握。 
風險管理需由董事會、各管理階層及全體人員共同參與、推動及
執行。各項風險管理資訊之傳遞及通報，需具備時效性及有效性。
經由向上陳報、向下溝通與跨部門間之整合，確保董事會及各管
理階層瞭解整體風險輪廓；並使得整體風險管理之目標與政策規
範能落實於各單位及各層級人員。"
MT-1-5,0.8070704183866021,"2  
構面 氣候風險基礎資訊揭露  
策略 • 依行業特性建立合適之環境管理制度  
1. 本行之行政或通知作業採用電子公文系統、會議導入無紙化
等措施，減少紙張用量。  
2. 辦公室及活動區域設有使用規範，除禁止吸煙，並提醒員工
應隨手關閉電源，節約能源，實施垃圾分類及資源回收，降
低對環境之影響。  
3. 每月在開戶申請、存摺、電子對帳單，乃至於存款申請、個
人信貸撥款證明等各項文件上，皆實現「無紙化線上申辦」 ，
與過往銀行相關業務生產的紙張消耗量相比，每月約減少
1000萬張紙張。  
• 致力於提升能源使用效率及使用對環境負荷衝擊低之再生物料"
MT-1-5,0.8053688381558856,"5  
貳、氣候變遷情境分析  
氣候變遷情境分析  
背
景 連線商業銀行 按銀行公會 「本國銀行辦理氣候變遷情境分析作業規劃 」
(以下簡稱 ”作業規劃 ”)，以2022年12月底為資料基準日， 依循作業
規劃之氣候情境 ，設定總體經濟因子 、環境因子、及相關參數，藉此評
估對銀行 簿授信及投資部位之衝擊，從而檢視本行 面對氣候風險 時之韌
性。 
說
明 • 情景設定  
依公會版作業規劃 ，本國銀行 辦理氣候變遷 情境分析 時，需考量銀
行在2030及2050年兩時點的有序轉型 、無序轉型 、及無政策，共"
MT-1-5,0.8006623126388853,"性。 
說
明 • 情景設定  
依公會版作業規劃 ，本國銀行 辦理氣候變遷 情境分析 時，需考量銀
行在2030及2050年兩時點的有序轉型 、無序轉型 、及無政策，共
六個情境下，對銀行信用風險參數 ，包含違約機率 （ Probability of 
Default, PD ）及違約損失率（ Loss Given Default, LGD ）加壓後 ，
觀察預期信用損失（Expected Credit Loss, ECL）變化情形。  
• 計算基礎與範圍  
依公會版作業規劃 ，計算基準為前一年底資產負債部位與前一年度
損益資訊，以 銀行個體為基礎 ；評估之範圍涵蓋國內個金授信 及國"
#MT-1-6,0.8324296838478868,"性。 
說
明 • 情景設定  
依公會版作業規劃 ，本國銀行 辦理氣候變遷 情境分析 時，需考量銀
行在2030及2050年兩時點的有序轉型 、無序轉型 、及無政策，共
六個情境下，對銀行信用風險參數 ，包含違約機率 （ Probability of 
Default, PD ）及違約損失率（ Loss Given Default, LGD ）加壓後 ，
觀察預期信用損失（Expected Credit Loss, ECL）變化情形。  
• 計算基礎與範圍  
依公會版作業規劃 ，計算基準為前一年底資產負債部位與前一年度
損益資訊，以 銀行個體為基礎 ；評估之範圍涵蓋國內個金授信 及國"
#MT-1-6,0.821046095510081,"1 
連線商業銀行氣候風險 管理揭露摘要  
 
壹、氣候風險基礎資訊揭露  
構面 氣候風險基礎資訊揭露  
公司 
治理 • 風險治理基本理念  
風險管理係行內各相關單位之共同職責，透過跨單位之充分協
調，在執行業務時，確保符合風險管理規範、並落實風險控管。
藉由縝密完善之風險網路防線，確保本行各項營運風險得以掌
握。 
風險管理需由董事會、各管理階層及全體人員共同參與、推動及
執行。各項風險管理資訊之傳遞及通報，需具備時效性及有效性。
經由向上陳報、向下溝通與跨部門間之整合，確保董事會及各管
理階層瞭解整體風險輪廓；並使得整體風險管理之目標與政策規
範能落實於各單位及各層級人員。"
#MT-1-6,0.8178679351685343,"5  
貳、氣候變遷情境分析  
氣候變遷情境分析  
背
景 連線商業銀行 按銀行公會 「本國銀行辦理氣候變遷情境分析作業規劃 」
(以下簡稱 ”作業規劃 ”)，以2022年12月底為資料基準日， 依循作業
規劃之氣候情境 ，設定總體經濟因子 、環境因子、及相關參數，藉此評
估對銀行 簿授信及投資部位之衝擊，從而檢視本行 面對氣候風險 時之韌
性。 
說
明 • 情景設定  
依公會版作業規劃 ，本國銀行 辦理氣候變遷 情境分析 時，需考量銀
行在2030及2050年兩時點的有序轉型 、無序轉型 、及無政策，共"
#MT-1-7,0.8290969706665714,"1 
連線商業銀行氣候風險 管理揭露摘要  
 
壹、氣候風險基礎資訊揭露  
構面 氣候風險基礎資訊揭露  
公司 
治理 • 風險治理基本理念  
風險管理係行內各相關單位之共同職責，透過跨單位之充分協
調，在執行業務時，確保符合風險管理規範、並落實風險控管。
藉由縝密完善之風險網路防線，確保本行各項營運風險得以掌
握。 
風險管理需由董事會、各管理階層及全體人員共同參與、推動及
執行。各項風險管理資訊之傳遞及通報，需具備時效性及有效性。
經由向上陳報、向下溝通與跨部門間之整合，確保董事會及各管
理階層瞭解整體風險輪廓；並使得整體風險管理之目標與政策規
範能落實於各單位及各層級人員。"
#MT-1-7,0.8154407417011199,"性。 
說
明 • 情景設定  
依公會版作業規劃 ，本國銀行 辦理氣候變遷 情境分析 時，需考量銀
行在2030及2050年兩時點的有序轉型 、無序轉型 、及無政策，共
六個情境下，對銀行信用風險參數 ，包含違約機率 （ Probability of 
Default, PD ）及違約損失率（ Loss Given Default, LGD ）加壓後 ，
觀察預期信用損失（Expected Credit Loss, ECL）變化情形。  
• 計算基礎與範圍  
依公會版作業規劃 ，計算基準為前一年底資產負債部位與前一年度
損益資訊，以 銀行個體為基礎 ；評估之範圍涵蓋國內個金授信 及國"
#MT-1-7,0.8080601180208276,"5  
貳、氣候變遷情境分析  
氣候變遷情境分析  
背
景 連線商業銀行 按銀行公會 「本國銀行辦理氣候變遷情境分析作業規劃 」
(以下簡稱 ”作業規劃 ”)，以2022年12月底為資料基準日， 依循作業
規劃之氣候情境 ，設定總體經濟因子 、環境因子、及相關參數，藉此評
估對銀行 簿授信及投資部位之衝擊，從而檢視本行 面對氣候風險 時之韌
性。 
說
明 • 情景設定  
依公會版作業規劃 ，本國銀行 辦理氣候變遷 情境分析 時，需考量銀
行在2030及2050年兩時點的有序轉型 、無序轉型 、及無政策，共"
#MT-1-8,0.8201505435183016,"性。 
說
明 • 情景設定  
依公會版作業規劃 ，本國銀行 辦理氣候變遷 情境分析 時，需考量銀
行在2030及2050年兩時點的有序轉型 、無序轉型 、及無政策，共
六個情境下，對銀行信用風險參數 ，包含違約機率 （ Probability of 
Default, PD ）及違約損失率（ Loss Given Default, LGD ）加壓後 ，
觀察預期信用損失（Expected Credit Loss, ECL）變化情形。  
• 計算基礎與範圍  
依公會版作業規劃 ，計算基準為前一年底資產負債部位與前一年度
損益資訊，以 銀行個體為基礎 ；評估之範圍涵蓋國內個金授信 及國"
#MT-1-8,0.8182698269613109,"1 
連線商業銀行氣候風險 管理揭露摘要  
 
壹、氣候風險基礎資訊揭露  
構面 氣候風險基礎資訊揭露  
公司 
治理 • 風險治理基本理念  
風險管理係行內各相關單位之共同職責，透過跨單位之充分協
調，在執行業務時，確保符合風險管理規範、並落實風險控管。
藉由縝密完善之風險網路防線，確保本行各項營運風險得以掌
握。 
風險管理需由董事會、各管理階層及全體人員共同參與、推動及
執行。各項風險管理資訊之傳遞及通報，需具備時效性及有效性。
經由向上陳報、向下溝通與跨部門間之整合，確保董事會及各管
理階層瞭解整體風險輪廓；並使得整體風險管理之目標與政策規
範能落實於各單位及各層級人員。"
#MT-1-8,0.8122767173730567,"5  
貳、氣候變遷情境分析  
氣候變遷情境分析  
背
景 連線商業銀行 按銀行公會 「本國銀行辦理氣候變遷情境分析作業規劃 」
(以下簡稱 ”作業規劃 ”)，以2022年12月底為資料基準日， 依循作業
規劃之氣候情境 ，設定總體經濟因子 、環境因子、及相關參數，藉此評
估對銀行 簿授信及投資部位之衝擊，從而檢視本行 面對氣候風險 時之韌
性。 
說
明 • 情景設定  
依公會版作業規劃 ，本國銀行 辦理氣候變遷 情境分析 時，需考量銀
行在2030及2050年兩時點的有序轉型 、無序轉型 、及無政策，共"
MT-3-1,0.80213304458305,"3  
構面 氣候風險基礎資訊揭露  
風險 
管理 風險管理的目標在使各單位風險管理機制具有一致的標準、語言及文
化，並透過有效風險管理機制之建立，以協助業務的推展及風險的監
控，進而確保本行穩健發展。未來管理階層可依據適當之風險量化指
標進行風險偏好及經營方向的決策，以求在風險與報酬均衡下創造股
東最大利益。 本行風險管理組織架構 如下： 
• 董事會 
為風險管理之最高決策單位，負有核定、審視、監督風險策略及
風險政策風險管理政策、架構以及建立全行的風險管理文化之責
任，對整體風險管理負有最終責任。  
• 風險管理委員會  
董事會下設風險管理委員會，由董事長擔任主任委員，執行董事"
MT-3-1,0.8018153421598306,"1 
連線商業銀行氣候風險 管理揭露摘要  
 
壹、氣候風險基礎資訊揭露  
構面 氣候風險基礎資訊揭露  
公司 
治理 • 風險治理基本理念  
風險管理係行內各相關單位之共同職責，透過跨單位之充分協
調，在執行業務時，確保符合風險管理規範、並落實風險控管。
藉由縝密完善之風險網路防線，確保本行各項營運風險得以掌
握。 
風險管理需由董事會、各管理階層及全體人員共同參與、推動及
執行。各項風險管理資訊之傳遞及通報，需具備時效性及有效性。
經由向上陳報、向下溝通與跨部門間之整合，確保董事會及各管
理階層瞭解整體風險輪廓；並使得整體風險管理之目標與政策規
範能落實於各單位及各層級人員。"
MT-3-2,0.8201867853990006,"3  
構面 氣候風險基礎資訊揭露  
風險 
管理 風險管理的目標在使各單位風險管理機制具有一致的標準、語言及文
化，並透過有效風險管理機制之建立，以協助業務的推展及風險的監
控，進而確保本行穩健發展。未來管理階層可依據適當之風險量化指
標進行風險偏好及經營方向的決策，以求在風險與報酬均衡下創造股
東最大利益。 本行風險管理組織架構 如下： 
• 董事會 
為風險管理之最高決策單位，負有核定、審視、監督風險策略及
風險政策風險管理政策、架構以及建立全行的風險管理文化之責
任，對整體風險管理負有最終責任。  
• 風險管理委員會  
董事會下設風險管理委員會，由董事長擔任主任委員，執行董事"
MT-3-2,0.8146966573790888,"1 
連線商業銀行氣候風險 管理揭露摘要  
 
壹、氣候風險基礎資訊揭露  
構面 氣候風險基礎資訊揭露  
公司 
治理 • 風險治理基本理念  
風險管理係行內各相關單位之共同職責，透過跨單位之充分協
調，在執行業務時，確保符合風險管理規範、並落實風險控管。
藉由縝密完善之風險網路防線，確保本行各項營運風險得以掌
握。 
風險管理需由董事會、各管理階層及全體人員共同參與、推動及
執行。各項風險管理資訊之傳遞及通報，需具備時效性及有效性。
經由向上陳報、向下溝通與跨部門間之整合，確保董事會及各管
理階層瞭解整體風險輪廓；並使得整體風險管理之目標與政策規
範能落實於各單位及各層級人員。"
MT-3-3,0.827196527975561,"3  
構面 氣候風險基礎資訊揭露  
風險 
管理 風險管理的目標在使各單位風險管理機制具有一致的標準、語言及文
化，並透過有效風險管理機制之建立，以協助業務的推展及風險的監
控，進而確保本行穩健發展。未來管理階層可依據適當之風險量化指
標進行風險偏好及經營方向的決策，以求在風險與報酬均衡下創造股
東最大利益。 本行風險管理組織架構 如下： 
• 董事會 
為風險管理之最高決策單位，負有核定、審視、監督風險策略及
風險政策風險管理政策、架構以及建立全行的風險管理文化之責
任，對整體風險管理負有最終責任。  
• 風險管理委員會  
董事會下設風險管理委員會，由董事長擔任主任委員，執行董事"
MT-3-3,0.8155333889715729,"1 
連線商業銀行氣候風險 管理揭露摘要  
 
壹、氣候風險基礎資訊揭露  
構面 氣候風險基礎資訊揭露  
公司 
治理 • 風險治理基本理念  
風險管理係行內各相關單位之共同職責，透過跨單位之充分協
調，在執行業務時，確保符合風險管理規範、並落實風險控管。
藉由縝密完善之風險網路防線，確保本行各項營運風險得以掌
握。 
風險管理需由董事會、各管理階層及全體人員共同參與、推動及
執行。各項風險管理資訊之傳遞及通報，需具備時效性及有效性。
經由向上陳報、向下溝通與跨部門間之整合，確保董事會及各管
理階層瞭解整體風險輪廓；並使得整體風險管理之目標與政策規
範能落實於各單位及各層級人員。"
